Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
1186,P921042R,PC P3 S9 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1187,P921042S,PC P3 S9 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1188,P921043R,PC P3 S10 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1189,P921043S,PC P3 S10 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1190,P924035R,PC P4 S2 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1191,P924035S,PC P4 S2 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1192,P924036R,PC P4 S3 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1193,P924036S,PC P4 S3 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1194,P924037R,PC P4 S4 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1195,P924037S,PC P4 S4 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1196,P924038R,PC P4 S5 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1197,P924038S,PC P4 S5 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1198,P924040R,PC P4 S7 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1199,P924040S,PC P4 S7 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1200,P924041R,PC P4 S8 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1201,P924041S,PC P4 S8 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1202,P924042R,PC P4 S9 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1203,P924042S,PC P4 S9 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1204,P924043R,PC P4 S10 Going to the Movies (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1205,P924043S,PC P4 S10 Going to the Movies (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1206,LITSTATUS,Literacy - PV Status,Integer,Nominal,1,0,Scale scores (derived),Derived - Literacy and Numeracy PV status,BQ (numeric),Values,
1207,PVLIT1,Literacy scale score - Plausible value 1,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1208,PVLIT2,Literacy scale score - Plausible value 2,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1209,PVLIT3,Literacy scale score - Plausible value 3,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1210,PVLIT4,Literacy scale score - Plausible value 4,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1211,PVLIT5,Literacy scale score - Plausible value 5,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1212,PVLIT6,Literacy scale score - Plausible value 6,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1213,PVLIT7,Literacy scale score - Plausible value 7,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1214,PVLIT8,Literacy scale score - Plausible value 8,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1215,PVLIT9,Literacy scale score - Plausible value 9,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1216,PVLIT10,Literacy scale score - Plausible value 10,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1217,NUMSTATUS,Numeracy - PV Status,Integer,Nominal,1,0,Scale scores (derived),Derived - Literacy and Numeracy PV status,BQ (numeric),Values,
1218,PVNUM1,Numeracy scale score - Plausible value 1,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1219,PVNUM2,Numeracy scale score - Plausible value 2,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1220,PVNUM3,Numeracy scale score - Plausible value 3,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1221,PVNUM4,Numeracy scale score - Plausible value 4,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1222,PVNUM5,Numeracy scale score - Plausible value 5,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1223,PVNUM6,Numeracy scale score - Plausible value 6,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1224,PVNUM7,Numeracy scale score - Plausible value 7,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1225,PVNUM8,Numeracy scale score - Plausible value 8,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1226,PVNUM9,Numeracy scale score - Plausible value 9,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1227,PVNUM10,Numeracy scale score - Plausible value 10,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1228,PSLSTATUS,Problem Solving - PV Status,Integer,Nominal,1,0,Scale scores (derived),Derived - Problem Solving PV Status,BQ (numeric),Values,
1229,PVPSL1,Problem-solving scale score - Plausible value 1,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1230,PVPSL2,Problem-solving scale score - Plausible value 2,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1231,PVPSL3,Problem-solving scale score - Plausible value 3,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1232,PVPSL4,Problem-solving scale score - Plausible value 4,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1233,PVPSL5,Problem-solving scale score - Plausible value 5,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1234,PVPSL6,Problem-solving scale score - Plausible value 6,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1235,PVPSL7,Problem-solving scale score - Plausible value 7,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1236,PVPSL8,Problem-solving scale score - Plausible value 8,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1237,PVPSL9,Problem-solving scale score - Plausible value 9,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1238,PVPSL10,Problem-solving scale score - Plausible value 10,Numeric/floating point,Scale,10,5,Scale scores (derived),,"Default (""blank""/Null/. only)",n/a,
1239,PRC_PV_SCR,Total Score for Reading Components Section - Print Vocabulary (derived),Integer,Ratio,2,0,Scale scores (derived),,"Cognitive (""valid skip"" and ""not stated"")",Values,
1240,PRC_SP_SCR,Total Score for Reading Components Section - Sentence Processing (derived),Integer,Ratio,2,0,Scale scores (derived),,"Cognitive (""valid skip"" and ""not stated"")",Values,
1241,PRC_PC_SCR,Total Score for Reading Components Section - Passage Comprehension (derived),Integer,Ratio,2,0,Scale scores (derived),,"Cognitive (""valid skip"" and ""not stated"")",Values,
1242,VEMETHOD,Replication approach (string),String/character (Unicode),Nominal,3,0,Sampling / weighting,Replication approach (numeric),"Default (""blank""/Null/. only)",Values,
1243,VEMETHODN,Replication approach (numeric),Integer,Nominal,1,0,Sampling / weighting,Replication approach (numeric),"Default (""blank""/Null/. only)",Values,
1244,VEFAYFAC,Fay's K factor used in creating replicate weights (BRR only),Numeric/floating point,Ratio,4,2,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1245,VENREPS,Number of replicate weights used,Integer,Ratio,2,0,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1246,VARSTRAT,Variance stratum,Integer,Nominal,3,0,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1247,VARUNIT,Variance unit,Integer,Nominal,2,0,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1248,SPFWT0,Final full sample weight,Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1249,SPFWT1,Final replicate weight (1),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1250,SPFWT2,Final replicate weight (2),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1251,SPFWT3,Final replicate weight (3),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1252,SPFWT4,Final replicate weight (4),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1253,SPFWT5,Final replicate weight (5),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1254,SPFWT6,Final replicate weight (6),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1255,SPFWT7,Final replicate weight (7),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1256,SPFWT8,Final replicate weight (8),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1257,SPFWT9,Final replicate weight (9),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1258,SPFWT10,Final replicate weight (10),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1259,SPFWT11,Final replicate weight (11),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1260,SPFWT12,Final replicate weight (12),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1261,SPFWT13,Final replicate weight (13),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1262,SPFWT14,Final replicate weight (14),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1263,SPFWT15,Final replicate weight (15),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1264,SPFWT16,Final replicate weight (16),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1265,SPFWT17,Final replicate weight (17),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1266,SPFWT18,Final replicate weight (18),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1267,SPFWT19,Final replicate weight (19),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1268,SPFWT20,Final replicate weight (20),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
1269,SPFWT21,Final replicate weight (21),Numeric/floating point,Ratio,13,6,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
